,ORDEN #,ORDEN,Vuelta,Cita,Doca,#,Citación,Ingreso,Egreso,MLP,Unidad,Cambió??,Bloque,Equipo,Extrae,OrdenLetra,Concatenado,,,OrdenLetra,Concatenado,COUNTA de Concatenado,,0:35,1,Unidad,COUNTA de Unidad,,,,Doca,Bloque,Equipo
0:05:00,1-PRIM,A,Ola 1,Cita 1,Doca,1,8:25,8:30,9:20,Kaizen,UT- SDD,FALSE,CUMBIA,ROSA,8:25,A,8:25 - Kaizen  (UT- SDD),,,A,8:25 - Andesmar  (Mediana),1,,,,Bloqueada,14,,,,1,CUMBIA,ROSA
0:30,2-PRIM,A,Ola 1,Cita 1,Doca,2,8:25,8:30,9:20,Kaizen,UT- SDD,FALSE,CUMBIA,ROSA,8:25,A,8:25 - Kaizen  (UT- SDD),,,A,8:25 - Fleet  (Mediana),1,,,,Branding,3,,,,2,CUMBIA,ROSA
,3-PRIM,A,Ola 1,Cita 1,Doca,3,8:25,8:30,9:20,Kaizen,UT- SDD,FALSE,CUMBIA,ROSA,8:25,A,8:25 - Kaizen  (UT- SDD),,,A,8:25 - Intermedio  (Larga),2,,,,Chasis,2,,,,3,CUMBIA,ROSA
,4-PRIM,A,Ola 1,Cita 1,Doca,4,8:25,8:30,9:20,Kaizen,UT- SDD,FALSE,CUMBIA,ROSA,8:25,A,8:25 - Kaizen  (UT- SDD),,,A,8:25 - Kaizen  (UT- SDD),4,,,,Chasis Mediano,1,,,,4,CUMBIA,ROSA
,5-PRIM,A,Ola 1,Cita 1,Doca,5,8:25,8:30,9:20,Intermedio,Larga,FALSE,CUMBIA,ROSA,8:25,A,8:25 - Intermedio  (Larga),,,A,8:25 - Oeste Postal  (Mediana),1,,,,Corta,71,,,,5,CUMBIA,ROSA
,6-PRIM,A,Ola 1,Cita 1,Doca,6,8:25,8:30,9:20,Intermedio,Larga,FALSE,CUMBIA,ROSA,8:25,A,8:25 - Intermedio  (Larga),,,A,8:25 - QX Logistica  (Mediana),1,,,,Larga,134,,,,6,CUMBIA,ROSA
,7-PRIM,A,Ola 1,Cita 1,Doca,7,8:25,8:30,9:20,Oeste Postal,Mediana,FALSE,CUMBIA,ROSA,8:25,A,8:25 - Oeste Postal  (Mediana),,,B,8:30 - Chazki  (Corta),1,,,,Mediana,19,,,,7,CUMBIA,ROSA
,8-PRIM,A,Ola 1,Cita 1,Doca,8,8:25,8:30,9:20,QX Logistica,Mediana,FALSE,CUMBIA,ROSA,8:25,A,8:25 - QX Logistica  (Mediana),,,B,8:30 - EPSA  (Corta),1,,,,Meli Extra,61,,,,8,CUMBIA,ROSA
,9-PRIM,A,Ola 1,Cita 1,Doca,9,8:25,8:30,9:20,Fleet,Mediana,FALSE,CUMBIA,ROSA,8:25,A,8:25 - Fleet  (Mediana),,,B,8:30 - Southpost  (Branding),3,,,,UT- SDD,16,,,,9,CUMBIA,ROSA
,10-PRIM,A,Ola 1,Cita 1,Doca,10,8:25,8:30,9:20,Andesmar,Mediana,FALSE,CUMBIA,ROSA,8:25,A,8:25 - Andesmar  (Mediana),,,C,8:45 - Correo e-Flet  (Larga),2,,,,Suma total,321,,,,10,CUMBIA,ROSA
,11-PRIM,B,Ola 1,Cita 2,Doca,11,8:30,8:35,9:25,Southpost,Branding,FALSE,CUMBIA,VERDE,8:30,B,8:30 - Southpost  (Branding),,,C,8:45 - Oeste Postal  (Larga),2,,,,,,,,,11,CUMBIA,VERDE
,12-PRIM,B,Ola 1,Cita 2,Doca,12,8:30,8:35,9:25,Southpost,Branding,FALSE,CUMBIA,VERDE,8:30,B,8:30 - Southpost  (Branding),,,C,8:45 - QX Logistica  (Larga),5,,,,,,,,,12,CUMBIA,VERDE
,13-PRIM,B,Ola 1,Cita 2,Doca,13,8:30,8:35,9:25,Southpost,Branding,FALSE,CUMBIA,VERDE,8:30,B,8:30 - Southpost  (Branding),,,D,8:55 - Andesmar  (Larga),2,,,,,,,,,13,CUMBIA,VERDE
,14-PRIM,B,Ola 1,Cita 2,Doca,14,8:30,8:35,9:10,EPSA,Corta,FALSE,CUMBIA,VERDE,8:30,B,8:30 - EPSA  (Corta),,,D,8:55 - DPD Argentina S.A  (Larga),3,,,,,,,,,14,CUMBIA,VERDE
,15-PRIM,B,Ola 1,Cita 2,Doca,15,8:30,8:35,9:10,Chazki,Corta,FALSE,CUMBIA,VERDE,8:30,B,8:30 - Chazki  (Corta),,,D,8:55 - EPSA  (Larga),3,,,,,,,,,15,CUMBIA,VERDE
,16-PRIM,B,Ola 1,Cita 2,Doca,16,8:30,8:35,9:10,,Corta,FALSE,CUMBIA,VERDE,8:30,B,,,,D,8:55 - Fleet  (Larga),1,,,,,,,,,16,CUMBIA,VERDE
,17-PRIM,B,Ola 1,Cita 2,Doca,17,8:30,8:35,9:10,,Corta,FALSE,ROCK,AMARILLO,8:30,B,,,,D,8:55 - NyG  (Larga),1,,,,,,,,,17,ROCK,AMARILLO
,18-PRIM,B,Ola 1,Cita 2,Doca,18,8:30,8:35,9:10,,Corta,FALSE,ROCK,AMARILLO,8:30,B,,,,D,8:55 - QX Logistica  (Larga),1,,,,,,,,,18,ROCK,AMARILLO
,19-PRIM,B,Ola 1,Cita 2,Doca,19,8:30,8:35,9:10,,Corta,FALSE,ROCK,AMARILLO,8:30,B,,,,E,9:05 - Correo e-Flet  (Corta),1,,,,,,,,,19,ROCK,AMARILLO
,20-PRIM,B,Ola 1,Cita 2,Doca,20,8:30,8:35,9:10,,Corta,FALSE,ROCK,AMARILLO,8:30,B,,,,E,9:05 - NyG  (Larga),4,,,,,,,,,20,ROCK,AMARILLO
,21-PRIM,B,Ola 1,Cita 2,Doca,21,8:30,8:35,9:10,,Corta,FALSE,ROCK,AMARILLO,8:30,B,,,,F,9:10 - EntregAr  (Corta),1,,,,,,,,,21,ROCK,AMARILLO
,22-PRIM,B,Ola 1,Cita 2,Doca,22,8:30,8:35,9:10,,Corta,FALSE,ROCK,AMARILLO,8:30,B,,,,G,9:15 - Chazki  (Mediana),1,,,,,,,,,22,ROCK,AMARILLO
,23-PRIM,B,Ola 1,Cita 2,Doca,23,8:30,8:35,9:10,,Corta,FALSE,ROCK,AMARILLO,8:30,B,,,,G,9:15 - DPD Argentina S.A  (Mediana),1,,,,,,,,,23,ROCK,AMARILLO
,24-PRIM,C,Ola 1,Cita 3,Doca,24,8:45,8:50,9:40,Correo e-Flet,Larga,FALSE,CUMBIA,VERDE,8:45,C,8:45 - Correo e-Flet  (Larga),,,G,9:15 - EntregAr  (UT- SDD),3,,,,,,,,,24,CUMBIA,VERDE
,25-PRIM,C,Ola 1,Cita 3,Doca,25,8:45,8:50,9:40,Correo e-Flet,Larga,FALSE,CUMBIA,VERDE,8:45,C,8:45 - Correo e-Flet  (Larga),,,G,9:15 - Fast Track  (Larga),2,,,,,,,,,25,CUMBIA,VERDE
,26-PRIM,C,Ola 1,Cita 3,Doca,26,8:45,8:50,9:40,Oeste Postal,Larga,FALSE,CUMBIA,VERDE,8:45,C,8:45 - Oeste Postal  (Larga),,,G,9:15 - Intermedio  (Mediana),1,,,,,,,,,26,CUMBIA,VERDE
,27-PRIM,C,Ola 1,Cita 3,Doca,27,8:45,8:50,9:40,Oeste Postal,Larga,FALSE,CUMBIA,VERDE,8:45,C,8:45 - Oeste Postal  (Larga),,,G,9:15 - NyG  (Mediana),1,,,,,,,,,27,CUMBIA,VERDE
,28-PRIM,C,Ola 1,Cita 3,Doca,28,8:45,8:50,9:40,QX Logistica,Larga,FALSE,ROCK,AMARILLO,8:45,C,8:45 - QX Logistica  (Larga),,,G,9:15 - QX Logistica  (UT- SDD),1,,,,,,,,,28,ROCK,AMARILLO
,29-PRIM,C,Ola 1,Cita 3,Doca,29,8:45,8:50,9:40,QX Logistica,Larga,FALSE,ROCK,AMARILLO,8:45,C,8:45 - QX Logistica  (Larga),,,H,9:25 - Clicoh  (Larga),1,,,,,,,,,29,ROCK,AMARILLO
,30-PRIM,C,Ola 1,Cita 3,Doca,30,8:45,8:50,9:40,QX Logistica,Larga,FALSE,ROCK,AMARILLO,8:45,C,8:45 - QX Logistica  (Larga),,,H,9:25 - Fast Track  (Larga),1,,,,,,,,,30,ROCK,AMARILLO
,31-PRIM,C,Ola 1,Cita 3,Doca,31,8:45,8:50,9:40,QX Logistica,Larga,FALSE,ROCK,AMARILLO,8:45,C,8:45 - QX Logistica  (Larga),,,H,9:25 - Shipment Box  (Larga),1,,,,,,,,,31,ROCK,AMARILLO
,32-PRIM,C,Ola 1,Cita 3,Doca,32,8:45,8:50,9:40,QX Logistica,Larga,FALSE,ROCK,AMARILLO,8:45,C,8:45 - QX Logistica  (Larga),,,H,9:25 - Webpack  (Larga),1,,,,,,,,,32,ROCK,AMARILLO
,33-PRIM,D,Ola 1,Cita 4,Doca,33,8:55,9:00,9:50,QX Logistica,Larga,FALSE,CUMBIA,AZUL,8:55,D,8:55 - QX Logistica  (Larga),,,H,9:35 - Dominus Cargo  (Larga),1,,,,,,,,,33,CUMBIA,AZUL
,34-PRIM,D,Ola 1,Cita 4,Doca,34,8:55,9:00,9:50,Fleet,Larga,FALSE,CUMBIA,AZUL,8:55,D,8:55 - Fleet  (Larga),,,H,9:35 - Kaizen  (Larga),1,,,,,,,,,34,CUMBIA,AZUL
,35-PRIM,D,Ola 1,Cita 4,Doca,35,8:55,9:00,9:50,Andesmar,Larga,FALSE,CUMBIA,AZUL,8:55,D,8:55 - Andesmar  (Larga),,,I,9:35 - Dominus Cargo  (Larga),3,,,,,,,,,35,CUMBIA,AZUL
,36-PRIM,D,Ola 1,Cita 4,Doca,36,8:55,9:00,9:50,Andesmar,Larga,FALSE,CUMBIA,AZUL,8:55,D,8:55 - Andesmar  (Larga),,,I,9:35 - EnvioPack  (Larga),3,,,,,,,,,36,CUMBIA,AZUL
,37-PRIM,D,Ola 1,Cita 4,Doca,37,8:55,9:00,9:50,EPSA,Larga,FALSE,CUMBIA,AZUL,8:55,D,8:55 - EPSA  (Larga),,,I,9:45 - EntregAr  (Larga),5,,,,,,,,,37,CUMBIA,AZUL
,38-PRIM,D,Ola 1,Cita 4,Doca,38,8:55,9:00,9:50,EPSA,Larga,FALSE,CUMBIA,AZUL,8:55,D,8:55 - EPSA  (Larga),,,J,9:45 - ELOG  (Larga),1,,,,,,,,,38,CUMBIA,AZUL
,39-PRIM,D,Ola 1,Cita 4,Doca,39,8:55,9:00,9:20,,Bloqueada,FALSE,CUMBIA,AZUL,8:55,D,,,,J,9:45 - EntregAr  (Larga),1,,,,,,,,,39,CUMBIA,AZUL
,40-PRIM,D,Ola 1,Cita 4,Doca,40,8:55,9:00,9:20,,Bloqueada,FALSE,ROCK,AZUL,8:55,D,,,,J,9:45 - Flashbox Delivery  (Larga),4,,,,,,,,,40,ROCK,AZUL
,41-PRIM,D,Ola 1,Cita 4,Doca,41,8:55,9:00,9:50,EPSA,Larga,FALSE,ROCK,AZUL,8:55,D,8:55 - EPSA  (Larga),,,L,10:05 - Clicoh  (UT- SDD),2,,,,,,,,,41,ROCK,AZUL
,42-PRIM,D,Ola 1,Cita 4,Doca,42,8:55,9:00,9:50,DPD Argentina S.A,Larga,FALSE,ROCK,AZUL,8:55,D,8:55 - DPD Argentina S.A  (Larga),,,L,10:05 - DPD Argentina S.A  (UT- SDD),1,,,,,,,,,42,ROCK,AZUL
,43-PRIM,D,Ola 1,Cita 4,Doca,43,8:55,9:00,9:50,DPD Argentina S.A,Larga,FALSE,ROCK,AZUL,8:55,D,8:55 - DPD Argentina S.A  (Larga),,,L,10:05 - EntregAr  (UT- SDD),1,,,,,,,,,43,ROCK,AZUL
,44-PRIM,D,Ola 1,Cita 4,Doca,44,8:55,9:00,9:50,DPD Argentina S.A,Larga,FALSE,ROCK,AZUL,8:55,D,8:55 - DPD Argentina S.A  (Larga),,,L,10:10 - Flashbox Delivery  (Larga),2,,,,,,,,,44,ROCK,AZUL
,45-PRIM,D,Ola 1,Cita 4,Doca,45,8:55,9:00,9:50,NyG,Larga,FALSE,ROCK,AZUL,8:55,D,8:55 - NyG  (Larga),,,M,10:15 - Chazki  (Larga),7,,,,,,,,,45,ROCK,AZUL
,46-PRIM,E,Ola 1,Cita 5,Doca,46,9:05,9:10,9:30,Correo e-Flet,Corta,FALSE,ROCK,ROJO,9:05,E,9:05 - Correo e-Flet  (Corta),,,N,10:30 - Iflow  (Larga),2,,,,,,,,,46,ROCK,ROJO
,47-PRIM,E,Ola 1,Cita 5,Doca,47,9:05,9:10,9:30,,Corta,FALSE,ROCK,ROJO,9:05,E,,,,N,10:30 - Maman  (Larga),3,,,,,,,,,47,ROCK,ROJO
,48-PRIM,E,Ola 1,Cita 5,Doca,48,9:05,9:10,9:30,,Corta,FALSE,ROCK,ROJO,9:05,E,,,,Q,10:55 - DPD Argentina S.A  (UT- SDD),1,,,,,,,,,48,ROCK,ROJO
,49-PRIM,E,Ola 1,Cita 5,Doca,49,9:05,9:10,9:30,NyG,Larga,TRUE,ROCK,ROJO,9:05,E,9:05 - NyG  (Larga),,,Q,10:55 - Iflow  (UT- SDD),1,,,,,,,,,49,ROCK,ROJO
,50-PRIM,E,Ola 1,Cita 5,Doca,50,9:05,9:10,9:30,NyG,Larga,TRUE,ROCK,ROJO,9:05,E,9:05 - NyG  (Larga),,,Suma total,,94,,,,,,,,,50,ROCK,ROJO
,51-PRIM,E,Ola 1,Cita 5,Doca,51,9:05,9:10,9:30,NyG,Larga,TRUE,ROCK,ROJO,9:05,E,9:05 - NyG  (Larga),,,,,,,,,,,,,,51,ROCK,ROJO
,52-PRIM,E,Ola 1,Cita 5,Doca,52,9:05,9:10,9:30,NyG,Larga,TRUE,ROCK,ROJO,9:05,E,9:05 - NyG  (Larga),,,,,,,,,,,,,,52,ROCK,ROJO
,53-PRIM,E,Ola 1,Cita 5,Doca,53,9:05,9:10,9:30,,Larga,TRUE,ROCK,ROJO,9:05,E,,,,,,,,,,,,,,,53,ROCK,ROJO
,54-PRIM,E,Ola 1,Cita 5,Doca,54,9:05,9:10,9:30,,Larga,FALSE,ROCK,ROJO,9:05,E,,,,,,,,,,,,,,,54,ROCK,ROJO
,14-SEG,F,Ola 2,Cita 6,Doca,14,9:10,9:15,9:50,EntregAr,Corta,FALSE,CUMBIA,VERDE,9:10,F,9:10 - EntregAr  (Corta),,,,,,,,,,,,,,,,
,15-SEG,F,Ola 2,Cita 6,Doca,15,9:10,9:15,9:50,,Corta,FALSE,CUMBIA,VERDE,9:10,F,,,,,,,,,,,,,,,,,
,16-SEG,F,Ola 2,Cita 6,Doca,16,9:10,9:15,9:50,,Corta,FALSE,CUMBIA,VERDE,9:10,F,,,,,,,,,,,,,,,,,
,17-SEG,F,Ola 2,Cita 6,Doca,17,9:10,9:15,9:50,,Corta,FALSE,ROCK,AMARILLO,9:10,F,,,,,,,,,,,,,,,,,
,18-SEG,F,Ola 2,Cita 6,Doca,18,9:10,9:15,9:50,,Corta,FALSE,ROCK,AMARILLO,9:10,F,,,,,,,,,,,,,,,,,
,19-SEG,F,Ola 2,Cita 6,Doca,19,9:10,9:15,9:50,,Corta,FALSE,ROCK,AMARILLO,9:10,F,,,,,,,,,,,,,,,,,
,20-SEG,F,Ola 2,Cita 6,Doca,20,9:10,9:15,9:50,,Corta,FALSE,ROCK,AMARILLO,9:10,F,,,,,,,,,,,,,,,,,
,21-SEG,F,Ola 2,Cita 6,Doca,21,9:10,9:15,9:50,,Corta,FALSE,ROCK,AMARILLO,9:10,F,,,,,,,,,,,,,,,,,
,22-SEG,F,Ola 2,Cita 6,Doca,22,9:10,9:15,9:50,,Corta,FALSE,ROCK,AMARILLO,9:10,F,,,,,,,,,,,,,,,,,
,23-SEG,F,Ola 2,Cita 6,Doca,23,9:10,9:15,9:50,,Corta,FALSE,ROCK,AMARILLO,9:10,F,,,,,,,,,,,,,,,,,
,46-SEG,J,Ola 2,Cita 10,Doca,46,9:10,9:15,9:50,,Corta,FALSE,ROCK,ROJO,9:10,J,,,,,,,,,,,,,,,,,
,47-SEG,J,Ola 2,Cita 10,Doca,47,9:10,9:15,9:50,,Corta,FALSE,ROCK,ROJO,9:10,J,,,,,,,,,,,,,,,,,
,48-SEG,J,Ola 2,Cita 10,Doca,48,9:10,9:15,9:50,,Corta,FALSE,ROCK,ROJO,9:10,J,,,,,,,,,,,,,,,,,
,1-SEG,G,Ola 2,Cita 7,Doca,1,9:15,9:20,10:10,QX Logistica,UT- SDD,FALSE,CUMBIA,ROSA,9:15,G,9:15 - QX Logistica  (UT- SDD),,,,,,,,,,,,,,,,
,2-SEG,G,Ola 2,Cita 7,Doca,2,9:15,9:20,10:10,EntregAr,UT- SDD,FALSE,CUMBIA,ROSA,9:15,G,9:15 - EntregAr  (UT- SDD),,,,,,,,,,,,,,,,
,3-SEG,G,Ola 2,Cita 7,Doca,3,9:15,9:20,10:10,EntregAr,UT- SDD,FALSE,CUMBIA,ROSA,9:15,G,9:15 - EntregAr  (UT- SDD),,,,,,,,,,,,,,,,
,4-SEG,G,Ola 2,Cita 7,Doca,4,9:15,9:20,10:10,EntregAr,UT- SDD,FALSE,CUMBIA,ROSA,9:15,G,9:15 - EntregAr  (UT- SDD),,,,,,,,,,,,,,,,
,5-SEG,G,Ola 2,Cita 7,Doca,5,9:15,9:20,10:10,Fast Track,Larga,TRUE,CUMBIA,ROSA,9:15,G,9:15 - Fast Track  (Larga),,,,,,,,,,,,,,,,
,6-SEG,G,Ola 2,Cita 7,Doca,6,9:15,9:20,10:10,Fast Track,Larga,TRUE,CUMBIA,ROSA,9:15,G,9:15 - Fast Track  (Larga),,,,,,,,,,,,,,,,
,7-SEG,G,Ola 2,Cita 7,Doca,7,9:15,9:20,10:10,DPD Argentina S.A,Mediana,FALSE,CUMBIA,ROSA,9:15,G,9:15 - DPD Argentina S.A  (Mediana),,,,,,,,,,,,,,,,
,8-SEG,G,Ola 2,Cita 7,Doca,8,9:15,9:20,10:10,NyG,Mediana,FALSE,CUMBIA,ROSA,9:15,G,9:15 - NyG  (Mediana),,,,,,,,,,,,,,,,
,9-SEG,G,Ola 2,Cita 7,Doca,9,9:15,9:20,10:10,Chazki,Mediana,FALSE,CUMBIA,ROSA,9:15,G,9:15 - Chazki  (Mediana),,,,,,,,,,,,,,,,
,10-SEG,G,Ola 2,Cita 7,Doca,10,9:15,9:20,10:10,Intermedio,Mediana,FALSE,CUMBIA,ROSA,9:15,G,9:15 - Intermedio  (Mediana),,,,,,,,,,,,,,,,
,11-SEG,H,Ola 2,Cita 8,Doca,11,9:35,9:40,10:30,,Bloqueada,FALSE,CUMBIA,VERDE,9:35,H,,,,,,,,,,,,,,,,,
,12-SEG,H,Ola 2,Cita 8,Doca,12,9:35,9:40,10:30,,Bloqueada,FALSE,CUMBIA,VERDE,9:35,H,,,,,,,,,,,,,,,,,
,13-SEG,H,Ola 2,Cita 8,Doca,13,9:35,9:40,10:30,,Bloqueada,FALSE,CUMBIA,VERDE,9:35,H,,,,,,,,,,,,,,,,,
,24-SEG,H,Ola 2,Cita 8,Doca,24,9:25,9:30,10:20,Fast Track,Larga,TRUE,CUMBIA,VERDE,9:25,H,9:25 - Fast Track  (Larga),,,,,,,,,,,,,,,,
,25-SEG,H,Ola 2,Cita 8,Doca,25,9:25,9:30,10:20,Clicoh,Larga,TRUE,CUMBIA,VERDE,9:25,H,9:25 - Clicoh  (Larga),,,,,,,,,,,,,,,,
,26-SEG,H,Ola 2,Cita 8,Doca,26,9:25,9:30,10:20,Webpack,Larga,TRUE,CUMBIA,VERDE,9:25,H,9:25 - Webpack  (Larga),,,,,,,,,,,,,,,,
,27-SEG,H,Ola 2,Cita 8,Doca,27,9:25,9:30,10:20,Shipment Box,Larga,TRUE,CUMBIA,VERDE,9:25,H,9:25 - Shipment Box  (Larga),,,,,,,,,,,,,,,,
,28-SEG,H,Ola 2,Cita 8,Doca,28,9:25,9:30,10:20,,Larga,FALSE,ROCK,AMARILLO,9:25,H,,,,,,,,,,,,,,,,,
,29-SEG,H,Ola 2,Cita 8,Doca,29,9:25,9:30,10:20,,Larga,FALSE,ROCK,AMARILLO,9:25,H,,,,,,,,,,,,,,,,,
,30-SEG,H,Ola 2,Cita 8,Doca,30,9:25,9:30,10:20,,Larga,FALSE,ROCK,AMARILLO,9:25,H,,,,,,,,,,,,,,,,,
,31-SEG,H,Ola 2,Cita 8,Doca,31,9:35,9:40,10:30,Kaizen,Larga,TRUE,ROCK,AMARILLO,9:35,H,9:35 - Kaizen  (Larga),,,,,,,,,,,,,,,,
,32-SEG,H,Ola 2,Cita 8,Doca,32,9:35,9:40,10:30,Dominus Cargo,Larga,TRUE,ROCK,AMARILLO,9:35,H,9:35 - Dominus Cargo  (Larga),,,,,,,,,,,,,,,,
,33-SEG,I,Ola 2,Cita 9,Doca,33,9:35,9:40,10:30,Dominus Cargo,Larga,TRUE,CUMBIA,AZUL,9:35,I,9:35 - Dominus Cargo  (Larga),,,,,,,,,,,,,,,,
,34-SEG,I,Ola 2,Cita 9,Doca,34,9:35,9:40,10:30,Dominus Cargo,Larga,TRUE,CUMBIA,AZUL,9:35,I,9:35 - Dominus Cargo  (Larga),,,,,,,,,,,,,,,,
,35-SEG,I,Ola 2,Cita 9,Doca,35,9:35,9:40,10:30,Dominus Cargo,Larga,TRUE,CUMBIA,AZUL,9:35,I,9:35 - Dominus Cargo  (Larga),,,,,,,,,,,,,,,,
,36-SEG,I,Ola 2,Cita 9,Doca,36,9:35,9:40,10:30,EnvioPack,Larga,TRUE,CUMBIA,AZUL,9:35,I,9:35 - EnvioPack  (Larga),,,,,,,,,,,,,,,,
,37-SEG,I,Ola 2,Cita 9,Doca,37,9:35,9:40,10:30,EnvioPack,Larga,TRUE,CUMBIA,AZUL,9:35,I,9:35 - EnvioPack  (Larga),,,,,,,,,,,,,,,,
,38-SEG,I,Ola 2,Cita 9,Doca,38,9:35,9:40,10:30,EnvioPack,Larga,TRUE,CUMBIA,AZUL,9:35,I,9:35 - EnvioPack  (Larga),,,,,,,,,,,,,,,,
,41-SEG,I,Ola 2,Cita 9,Doca,41,9:45,9:50,10:40,EntregAr,Larga,TRUE,ROCK,AZUL,9:45,I,9:45 - EntregAr  (Larga),,,,,,,,,,,,,,,,
,42-SEG,I,Ola 2,Cita 9,Doca,42,9:45,9:50,10:40,EntregAr,Larga,TRUE,ROCK,AZUL,9:45,I,9:45 - EntregAr  (Larga),,,,,,,,,,,,,,,,
,43-SEG,I,Ola 2,Cita 9,Doca,43,9:45,9:50,10:40,EntregAr,Larga,TRUE,ROCK,AZUL,9:45,I,9:45 - EntregAr  (Larga),,,,,,,,,,,,,,,,
,44-SEG,I,Ola 2,Cita 9,Doca,44,9:45,9:50,10:40,EntregAr,Larga,TRUE,ROCK,AZUL,9:45,I,9:45 - EntregAr  (Larga),,,,,,,,,,,,,,,,
,45-SEG,I,Ola 2,Cita 9,Doca,45,9:45,9:50,10:40,EntregAr,Larga,TRUE,ROCK,AZUL,9:45,I,9:45 - EntregAr  (Larga),,,,,,,,,,,,,,,,
,49-SEG,J,Ola 2,Cita 10,Doca,49,9:45,9:50,10:40,EntregAr,Larga,TRUE,ROCK,ROJO,9:45,J,9:45 - EntregAr  (Larga),,,,,,,,,,,,,,,,
,50-SEG,J,Ola 2,Cita 10,Doca,50,9:45,9:50,10:40,ELOG,Larga,TRUE,ROCK,ROJO,9:45,J,9:45 - ELOG  (Larga),,,,,,,,,,,,,,,,
,51-SEG,J,Ola 2,Cita 10,Doca,51,9:45,9:50,10:40,Flashbox Delivery,Larga,TRUE,ROCK,ROJO,9:45,J,9:45 - Flashbox Delivery  (Larga),,,,,,,,,,,,,,,,
,52-SEG,J,Ola 2,Cita 10,Doca,52,9:45,9:50,10:40,Flashbox Delivery,Larga,TRUE,ROCK,ROJO,9:45,J,9:45 - Flashbox Delivery  (Larga),,,,,,,,,,,,,,,,
,53-SEG,J,Ola 2,Cita 10,Doca,53,9:45,9:50,10:40,Flashbox Delivery,Larga,TRUE,ROCK,ROJO,9:45,J,9:45 - Flashbox Delivery  (Larga),,,,,,,,,,,,,,,,
,54-SEG,J,Ola 2,Cita 10,Doca,54,9:45,9:50,10:40,Flashbox Delivery,Larga,TRUE,ROCK,ROJO,9:45,J,9:45 - Flashbox Delivery  (Larga),,,,,,,,,,,,,,,,
,61-TERC,K,Ola 3,Cita 11,Doca,61,10:00,10:05,10:40,,Chasis,FALSE,#N/A,#N/A,10:00,K,,,,,,,,,,,,,,,,,
,62-TERC,K,Ola 3,Cita 11,Doca,62,10:00,10:05,10:40,,Chasis,FALSE,#N/A,#N/A,10:00,K,,,,,,,,,,,,,,,,,
,63-TERC,K,Ola 3,Cita 11,Doca,63,10:00,10:05,10:40,,Chasis Mediano,FALSE,#N/A,#N/A,10:00,K,,,,,,,,,,,,,,,,,
,14-TERC,K,Ola 3,Cita 11,Doca,14,10:00,10:05,10:40,,Corta,FALSE,CUMBIA,VERDE,10:00,K,,,,,,,,,,,,,,,,,
,15-TERC,K,Ola 3,Cita 11,Doca,15,10:00,10:05,10:40,,Corta,FALSE,CUMBIA,VERDE,10:00,K,,,,,,,,,,,,,,,,,
,16-TERC,K,Ola 3,Cita 11,Doca,16,10:00,10:05,10:40,,Corta,FALSE,CUMBIA,VERDE,10:00,K,,,,,,,,,,,,,,,,,
,17-TERC,K,Ola 3,Cita 11,Doca,17,10:00,10:05,10:40,,Corta,FALSE,ROCK,AMARILLO,10:00,K,,,,,,,,,,,,,,,,,
,18-TERC,K,Ola 3,Cita 11,Doca,18,10:00,10:05,10:40,,Corta,FALSE,ROCK,AMARILLO,10:00,K,,,,,,,,,,,,,,,,,
,19-TERC,K,Ola 3,Cita 11,Doca,19,10:00,10:05,10:40,,Corta,FALSE,ROCK,AMARILLO,10:00,K,,,,,,,,,,,,,,,,,
,20-TERC,K,Ola 3,Cita 11,Doca,20,10:05,10:10,10:45,,Corta,FALSE,ROCK,AMARILLO,10:05,K,,,,,,,,,,,,,,,,,
,21-TERC,K,Ola 3,Cita 11,Doca,21,10:05,10:10,10:45,,Corta,FALSE,ROCK,AMARILLO,10:05,K,,,,,,,,,,,,,,,,,
,22-TERC,K,Ola 3,Cita 11,Doca,22,10:05,10:10,10:45,,Corta,FALSE,ROCK,AMARILLO,10:05,K,,,,,,,,,,,,,,,,,
,23-TERC,K,Ola 3,Cita 12,Doca,23,10:05,10:10,10:45,,Corta,FALSE,ROCK,AMARILLO,10:05,K,,,,,,,,,,,,,,,,,
,46-TERC,K,Ola 3,Cita 13,Doca,46,10:05,10:10,10:45,,Corta,FALSE,ROCK,ROJO,10:05,K,,,,,,,,,,,,,,,,,
,47-TERC,K,Ola 3,Cita 14,Doca,47,10:05,10:10,10:45,,Corta,FALSE,ROCK,ROJO,10:05,K,,,,,,,,,,,,,,,,,
,48-TERC,K,Ola 3,Cita 15,Doca,48,10:05,10:10,10:45,,Corta,FALSE,ROCK,ROJO,10:05,K,,,,,,,,,,,,,,,,,
,1-CUAR,L,Ola 4,Cita 12,Doca,1,10:05,10:10,11:00,EntregAr,UT- SDD,FALSE,CUMBIA,ROSA,10:05,L,10:05 - EntregAr  (UT- SDD),,,,,,,,,,,,,,,,
,2-CUAR,L,Ola 4,Cita 12,Doca,2,10:05,10:10,11:00,Clicoh,UT- SDD,FALSE,CUMBIA,ROSA,10:05,L,10:05 - Clicoh  (UT- SDD),,,,,,,,,,,,,,,,
